Symbol,ScriptCode,SearchUsed,BroadSector,Sector,BroadIndustry,Industry,MarketCap_Cr,Benchmarks,Status,LastUpdated
ADANIENT,,DIRECT_SYMBOL,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,395215.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Commodities|BSE Dollex 100|BSE Dollex 200|BSE India 150|BSE India Defence|BSE India Sector Leaders|BSE Metal|BSE SENSEX 50|BSE SENSEX Next 30|BSE Select Business Groups|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Conglomerate 50|Nifty High Beta 50|Nifty India FPI 150|Nifty India Select 5 Corporate Groups|Nifty LargeMidcap 250|Nifty Metal|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-27 13:40:25
ADANIPORTS,,DIRECT_SYMBOL,Services,Services,Transport Infrastructure,Port & Port services,413791.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Infrastructure Index|BSE India Sector Leaders|BSE SENSEX 50|BSE Select Business Groups|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE Services|NIFTY Mobility|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Conglomerate 50|Nifty High Beta 50|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty India Select 5 Corporate Groups|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Services Sector|Nifty Total Market|Nifty Transportation & Logistics|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-06-27 13:40:46
APOLLOHOSP,,DIRECT_SYMBOL,Healthcare,Healthcare,Healthcare Services,Hospital,123540.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Healthcare|BSE Hospitals|BSE India 150|BSE Low Volatility Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Growth Sectors 15|Nifty Healthcare Index|Nifty India Consumption|Nifty India FPI 150|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 Healthcare|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-06-26 22:04:59
ASIANPAINT,,DIRECT_SYMBOL,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,253727.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Consumer Discretionary|BSE Consumer Durables|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Core Housing|Nifty India Consumption|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Non-Cyclical Consumer|Nifty Quality Low-Volatility 30|Nifty Rural|Nifty Shariah 25|Nifty Total Market|Nifty Total Market Momentum Quality 50|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Momentum 30|Nifty200 Quality 30|Nifty50 Shariah|Nifty500 Equal Weight|Nifty500 Flexicap Quality 30|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Momentum 50|Nifty500 Multicap Momentum Quality 50|Nifty500 Multifactor MQVLv50|Nifty500 Shariah,ACTIVE,2026-06-26 22:15:16
AXISBANK,,DIRECT_SYMBOL,Financial Services,Financial Services,Banks,Private Sector Bank,428364.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE BANKEX|BSE Bharat 22 Index|BSE Diversified Financials Revenue Growth|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE Momentum Index|BSE Private Banks Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE TOP 10 Banks|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Bank|Nifty Financial Services|Nifty Financial Services 25/50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Private Bank|Nifty Services Sector|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-26 22:24:55
BAJAJ-AUTO,,DIRECT_SYMBOL,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,275110.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Auto|BSE Consumer Discretionary|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Mobility|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Auto|Nifty Conglomerate 50|Nifty Dividend Opportunities 50|Nifty EV & New Age Automotive|Nifty India Consumption|Nifty India FPI 150|Nifty India Manufacturing|Nifty India New Age Consumption|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Quality Low-Volatility 30|Nifty Rural|Nifty Total Market|Nifty Transportation & Logistics|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multifactor MQVLv50|Nifty500 Quality 50,ACTIVE,2026-06-26 22:28:02
BAJAJFINSV,,DIRECT_SYMBOL,Financial Services,Financial Services,Finance,Holding Company,282433.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Diversified Financials Revenue Growth|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Conglomerate 50|Nifty Financial Services|Nifty Financial Services 25/50|Nifty Financial Services Ex-Bank|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-26 22:28:45
BAJFINANCE,,DIRECT_SYMBOL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),610393.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Diversified Financials Revenue Growth|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Conglomerate 50|Nifty Financial Services|Nifty Financial Services 25/50|Nifty Financial Services Ex-Bank|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Rural|Nifty Services Sector|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty Total Market Momentum Quality 50|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Momentum 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Momentum 50|Nifty500 Multicap Momentum Quality 50|Nifty500 Multifactor MQVLv50,ACTIVE,2026-06-26 22:28:34
BEL,,DIRECT_SYMBOL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,297654.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Momentum 50|BSE Bharat 22 Index|BSE CPSE|BSE Capital Goods|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Defence|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Industrials|BSE Momentum Index|BSE PSU|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty CPSE|Nifty India Defence|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty India Manufacturing|Nifty India Railways PSU|Nifty LargeMidcap 250|Nifty PSE|Nifty Shariah 25|Nifty Total Market|Nifty Total Market Momentum Quality 50|Nifty100 Quality 30|Nifty200 Alpha30|Nifty200 Quality 30|Nifty500 Equal Weight|Nifty500 Flexicap Quality 30|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multicap Momentum Quality 50|Nifty500 Quality 50,ACTIVE,2026-06-26 22:40:50
BHARTIARTL,,DIRECT_SYMBOL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,1127683.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Sector Leaders|BSE Internet Economy|BSE Low Volatility Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE Teck|BSE Telecommunication|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty India Consumption|Nifty India Digital Index|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty India New Age Consumption|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Non-Cyclical Consumer|Nifty Rural|Nifty Services Sector|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Momentum 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Momentum 50|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-06-26 22:42:14
